Id,Source,Translation,Comment
JWK-Action-AbandonKeys,Abandon keys,鍵を手放す,
JWK-Action-CannotBeLockpicked,This lock cannot be picked.,ピッキング不可,
JWK-Action-CleanUp,Clean up,片付ける,
JWK-Action-CollectDogtag,Collect dogtag,ドッグタグを回収,
JWK-Action-Disassembly,Disassemble,解体,
JWK-Action-DismantleCamp,Dismantle camp,キャンプを撤去,
JWK-Action-EditSign,Edit sign,看板を編集,
JWK-Action-EpinephrineInject,Inject epinephrine,エピネフリンを注射,
JWK-Action-FollowMe,Ask to follow,同行を頼む,
JWK-Action-GetInWanted,Get in (wanted),乗る（指名手配中）,
JWK-Action-GetInWantedSuffix,(wanted),（指名手配中）,
JWK-Action-ImportResources,Import resources,物資を搬入,
JWK-Action-ImportVehicles,Import vehicles,車両を搬入,
JWK-Action-Lock,Lock,ロック,
JWK-Action-LockVehicle,Lock vehicle,車両をロック,
JWK-Action-Locked,Locked,ロック済み,
JWK-Action-ManagePlayerGarage,Manage garage,ガレージ管理,
JWK-Action-PickLock,Pick lock,ピッキング,
JWK-Action-PickUp,Pick up,拾う,
JWK-Action-PlayerRest,Rest,休む,
JWK-Action-Recruit,Recruit,仲間に加える,
JWK-Action-RequiresLockpick,Requires lockpick.,ロックピックが必要,
JWK-Action-Shop,Shop,ショップ,
JWK-Action-StayHere,Ask to stay,ここで待つよう頼む,
JWK-Action-StopCharacter,Stop,呼び止める,
JWK-Action-TakeBus,Take bus,バスに乗る,
JWK-Action-TakeCommand,Take command,指揮を執る,
JWK-Action-TakeFerry,Take ferry,フェリーに乗る,
JWK-Action-TakeKeys,Take keys,鍵を取る,
JWK-Action-Talk,Talk,話す,
JWK-Action-Trade,Trade,取引,
JWK-Action-TransferFuel,Transfer fuel,燃料を移送,
JWK-Action-Unlock,Unlock,アンロック,
JWK-Action-UnlockVehicle,Unlock vehicle,車両をアンロック,
JWK-Action-UsePhone,Use phone,電話を使う,
JWK-ActionReason-DisassemblyAreaNotEmpty,Other constructions need to be disassembled first.,先にほかの建造物を解体する必要があります。,
JWK-ActionReason-NotEnoughMoney,Not enough money.,所持金不足,
JWK-ActionReason-SubordinatesLimit,Commanding limit reached.,指揮人数上限,
JWK-AdminUI-ClearNearbyBodies,Clear nearby bodies,近くの遺体を片付ける,
JWK-AdminUI-ClearNearbyItems,Clear nearby items,近くのアイテムを片付ける,
JWK-AdminUI-ForceSaveGame,Force save game,強制セーブ,
JWK-AdminUI-OpenSettings,Open settings,設定を開く,
JWK-AdminUI-ResetGlobalDestruction,Reset destruction (global),破壊状態をリセット（全体）,
JWK-AdminUI-ResetNearbyDestruction,Reset destruction (nearby),破壊状態をリセット（周辺）,
JWK-AdminUI-Title,Admin menu,管理者メニュー,
JWK-AdminUI-WipeSaveData,Wipe save data,セーブデータを消去,
JWK-Arland-Airport,Airport,空港,
JWK-Arland-NewfieldFarm,Newfield Farm,ニューフィールドファーム,
JWK-BankUI-Amount,Amount,金額,
JWK-BankUI-MoneyTransfer,Money transfer,送金,
JWK-BankUI-Perform,Perform,実行,
JWK-BankUI-Recipient,Receiver,受取人,
JWK-BankUI-YourMoney,Your money,所持金,
JWK-BattleFallbackTitle,Battle,戦闘,
JWK-BattlePlayerLosing,Resistance is losing control...,レジスタンスが支配権を失いつつあります…,
JWK-BattleProgress,Battle in progress...,戦闘中…,
JWK-BrokenSave-Text,"Save game data incompatible with this version of the mod has been detected. Please start a new campaign or revert the update to continue playing.<br/><br/>Use the ""<b>Restart</b>"" option in the pause menu or the ""<b>Wipe save data</b>"" in the admin menu to restart.",現在のMODバージョンと互換性のないセーブデータが見つかりました。プレイを続けるには、新しいキャンペーンを開始するか、アップデート前のバージョンに戻してください。<br/><br/>やり直すには、ポーズメニューの「<b>再起動</b>」または管理者メニューの「<b>セーブデータを消去</b>」を使用してください。,
JWK-BuildItem-ArmoryFOB,Field armory,野戦武器庫,
JWK-BuildItem-ArmoryFOB_Description,Buy weapons and ammunition.,武器と弾薬を購入できます。,
JWK-BuildItem-ArmoryFOB_DescriptionLong,Gives access to weapons and ammunitions belonging to the resistance. Items are purchased using supplies.,レジスタンスに属する武器と弾薬へのアクセスを提供します。アイテムは物資を使用して購入されます。,
JWK-BuildItem-ArmoryMOB,Allied armory,友軍武器庫,
JWK-BuildItem-ArmoryMOB-Description,Buy weapons and ammunition.,武器と弾薬を購入できます。,
JWK-BuildItem-ArmoryMOB-DescriptionLong,Gives access to weapons and ammunitions provided by the allied faction. Items are purchased using supplies.,友軍勢力が提供する武器と弾薬へのアクセスを許可します。アイテムは物資を使用して購入されます。,
JWK-BuildItem-Bunker,Bunker,バンカー,
